TranscriptID,NewsProgram,NexisUni,Factiva,TranscriptDate,TitleOriginal,CaseIDA,CaseStageA,CaseIDB,CaseStageB,CaseIDC,CaseStageC,CaseIDD,CaseStageD
ABC062698,WorldNewsTonight,1,1,1998-06-26,President Clinton In Beijing's Tiananmen Square,1997101,Decision,1997102,Decision,none,none,none,none
ABC062698,WorldNewsTonight,1,1,1998-06-26,Court Issues New Rules On Sexual Harassment,none,none,none,none,none,none,none,none
ABC010699,WorldNewsTonight,1,1,1999-01-06,The Man Who Will Preside Over The Trial,1996059,PostDecision,none,none,none,none,none,none
ABC042699,WorldNewsTonight,1,1,1999-04-26,New Diet Drug Wins Government Approval,1999038,Cert,none,none,none,none,none,none
ABC052499,WorldNewsTonight,1,1,1999-05-24,"Schools, Students And Sexual Harassment",1998059,Decision,none,none,none,none,none,none
ABC052499,WorldNewsTonight,1,1,1999-05-24,Value Of A Hometown Newspaper,none,none,none,none,none,none,none,none
ABC092899,WorldNewsTonight,1,1,1999-09-28,Can Woman Sue Man Who Raped Her?,1999086,Cert,none,none,none,none,none,none
ABC092899,WorldNewsTonight,1,1,1999-09-28,"The Mayor, The Virgin Mary And The Museum",none,none,none,none,none,none,none,none
ABC100499,WorldNewsTonight,1,1,1999-10-04,"""The Nation""",1999038,PostCert,1999041,PostCert,none,none,none,none
ABC100499,WorldNewsTonight,1,1,1999-10-04,Supreme Court Begins New Term,none,none,none,none,none,none,none,none
ABC100599,WorldNewsTonight,1,1,1999-10-05,MONEY AND POLITICS,none,none,none,none,none,none,none,none
ABC100599,WorldNewsTonight,1,1,1999-10-05,POLITICS AND MONEY,none,none,none,none,none,none,none,none
ABC061101,WorldNewsTonight,1,1,2001-06-11,"Floods In Houston, Texas; Supreme Court Rules On Police Searches Involving Heat Detectors; Religious Groups Can Meet In Schools After School Hours; Bombing In Medical Clinic",2000071,Decision,none,none,none,none,none,none
ABC101501,WorldNewsTonight,1,1,2001-10-15,National Headlines,2001063,Cert,none,none,none,none,none,none
ABC022002,WorldNewsTonight,1,1,2002-02-20,Cases Argued In Supreme Court About School Vouchers And Executions Of Mentally Retarded,2001080,Argument,none,none,none,none,none,none
ABC022602,WorldNewsTonight,1,1,2002-02-26,Today's National Headlines,2001063,Argument,none,none,none,none,none,none
ABC031802,WorldNewsTonight,1,1,2002-03-18,"ABC's World News Tonight, 6:30 PM",2001072,Argument,none,none,none,none,none,none
ABC041602,WorldNewsTonight,1,1,2002-04-16,"Abc's World News Tonight, 6:30 Pm",2001038,Decision,none,none,none,none,none,none
ABC041602,WorldNewsTonight,1,1,2002-04-16,Supreme Court Rules Child Pornography Restrictions Unconstitutional,none,none,none,none,none,none,none,none
ABC052802,WorldNewsTonight,1,1,2002-05-28,Today's National Headlines,2002039,Cert,none,none,none,none,none,none
ABC062702,WorldNewsTonight,1,1,2002-06-27,Supreme Court rules school vouchers in Cleveland are constitutional,2001080,Decision,none,none,none,none,none,none
ABC110502,WorldNewsTonight,1,1,2002-11-05,"Religious Freedom? You Must Believe In God, Says Boy Scouts",1999085,PostDecision,none,none,none,none,none,none
ABC120202,WorldNewsTonight,1,1,2002-12-02,"National Briefing Affirmative Action, Sodomy, Snow",2002083,Cert,none,none,none,none,none,none
ABC022603,WorldNewsTonight,1,1,2003-02-26,"National News Abortion Protests, Connecticut Fire",2002021,Decision,none,none,none,none,none,none
ABC043003,WorldNewsTonight,1,1,2003-04-30,Amber Alert President Signs New Legislation Against Sex Offenders,2001038,PostDecision,none,none,none,none,none,none
ABC050503,WorldNewsTonight,1,1,2003-05-05,"National Briefing Gasoline, Telemarketers",2002049,Decision,none,none,none,none,none,none
ABC062303,WorldNewsTonight,1,1,2003-06-23,Library Internet Ruling Pornography Filter,2002076,Decision,none,none,none,none,none,none
ABC062603,WorldNewsTonight,1,1,2003-06-26,Sodomy Law Unconstitutional Law Struck Down By Supreme Court,2002083,Decision,none,none,none,none,none,none
ABC062603,WorldNewsTonight,1,1,2003-06-26,What It Means Sodomy Law,none,none,none,none,none,none,none,none
ABC073103,WorldNewsTonight,1,1,2003-07-31,Disputed Union Same-sex Marriage,2002083,PostDecision,none,none,none,none,none,none
ABC090803,WorldNewsTonight,1,1,2003-09-08,Landmark Case Campaign Finance,2003006,Argument,none,none,none,none,none,none
ABC022504,WorldNewsTonight,1,1,2004-02-25,Church And State Supreme Court Ruling,2003035,Decision,none,none,none,none,none,none
ABC030404,WorldNewsTonight,1,1,2004-03-04,Inside The Court Justice Harry Blackmun,1991117,PostDecision,none,none,none,none,none,none
ABC032904,WorldNewsTonight,1,1,2004-03-29,A Closer Look Challenging The Law,1999088,PostDecision,none,none,none,none,none,none
ABC062904,WorldNewsTonight,1,1,2004-06-29,WORLD NEWS TONIGHT WITH PETER JENNINGS INTRODUCTION,2003090,Decision,none,none,none,none,none,none
ABC062904,WorldNewsTonight,1,1,2004-06-29,A CLOSER LOOK PORN DECISION,none,none,none,none,none,none,none,none
ABC062904,WorldNewsTonight,1,1,2004-06-29,INTERNET PORNOGRAPHY CHILD PROTECTION,none,none,none,none,none,none,none,none
ABC101204,WorldNewsTonight,1,1,2004-10-12,The Ten Commandments Separation Of Church And State,2004075,Cert,2004078,Cert,none,none,none,none
ABC030205,WorldNewsTonight,1,1,2005-03-02,Public Display Christianity In Modern American Life,2004075,Argument,none,none,none,none,none,none
ABC052305,WorldNewsTonight,1,1,2005-05-23,World News Tonight With Peter Jennings Introduction,2005020,Cert,none,none,none,none,none,none
ABC052305,WorldNewsTonight,1,1,2005-05-23,Abortion Battle Supreme Court To Hear Parental Consent Arguments,none,none,none,none,none,none,none,none
ABC052305,WorldNewsTonight,1,1,2005-05-23,Analysis Supreme Court Case,none,none,none,none,none,none,none,none
ABC062705,WorldNewsTonight,1,1,2005-06-27,The Ten Commandments Church And State,2004075,Decision,2004078,Decision,none,none,none,none
ABC062705,WorldNewsTonight,1,1,2005-06-27,WORLD NEWS TONIGHT WITH PETER JENNINGS INTRODUCTION,none,none,none,none,none,none,none,none
ABC062705,WorldNewsTonight,1,1,2005-06-27,Court: Restraining Orders Supreme Court Ruling,none,none,none,none,none,none,none,none
ABC062705,WorldNewsTonight,1,1,2005-06-27,The Reaction Supreme Court Ruling,none,none,none,none,none,none,none,none
ABC070105,WorldNewsTonight,1,1,2005-07-01,The Battle Begins Replacing Sandra Day O'connor,2005020,PostCert,2005039,PostCert,none,none,none,none
ABC103105,WorldNewsTonight,1,1,2005-10-31,ABORTION BATTLE LINES PROTESTS AT ALITO NOMINATION,1991117,PostDecision,none,none,none,none,none,none
ABC113005,WorldNewsTonight,1,1,2005-11-30,Abortion Case;supreme Court Hears Parental Consent Arguments,2005020,Argument,none,none,none,none,none,none
ABC113005,WorldNewsTonight,1,1,2005-11-30,The Alito Files;his Strategy To Overturn Roe V. Wade Revealed,none,none,none,none,none,none,none,none
ABC113005,WorldNewsTonight,1,1,2005-11-30,World News Tonight,none,none,none,none,none,none,none,none
ABC011806,WorldNewsTonight,1,1,2006-01-18,A Closer Look;kicking The Oil Habit: Saying No To Oil,2005020,Decision,none,none,none,none,none,none
ABC022106,WorldNewsTonight,1,1,2006-02-21,Abortion Battle;supreme Court Revisits Case,2006031,Cert,1999088,PostDecision,none,none,none,none
ABC022106,WorldNewsTonight,1,1,2006-02-21,World News Tonight,none,none,none,none,none,none,none,none
ABC030606,WorldNewsTonight,1,1,2006-03-06,A CLOSER LOOK;NOT PREPARED: THE BIG FIX?,2005039,Decision,none,none,none,none,none,none
ABC061906,WorldNewsTonight,1,1,2006-06-19,Court Decisions;clean Water Act And Abortion,2005069,Decision,2006031,Cert,none,none,none,none
,,,,,,,,,,,,,
ABC062606,WorldNewsTonight,1,1,2006-06-26,Decision Day;supreme Court To Consider Regulation On Carbon Dioxide Emissions,2005081,Decision,none,none,none,none,none,none
ABC011615,WorldNewsTonight,1,1,2015-01-16,Same-sex Marriage;supreme Court To Take On Gay Marriage,2014070,Cert,none,none,none,none,none,none
ABC020915,WorldNewsTonight,1,1,2015-02-09,Marriage Battle;alabama Judge Defies Supreme Court,2014070,PostCert,none,none,none,none,none,none
ABC020915,WorldNewsTonight,1,1,2015-02-09,World News Tonight With David Muir,none,none,none,none,none,none,none,none
ABC042815,WorldNewsTonight,1,1,2015-04-28,Landmark Case;justices To Rule On Same-sex Marriage,2014070,Argument,none,none,none,none,none,none
ABC061715,WorldNewsTonight,1,1,2015-06-17,Abc News Exclusive;one-on-one With Jeb Bush,2014070,PostArgument,none,none,none,none,none,none
ABC062615,WorldNewsTonight,1,1,2015-06-26,World News Tonight With David Muir,2014070,Decision,none,none,none,none,none,none
ABC062615,WorldNewsTonight,1,1,2015-06-26,Historic Ruling;supreme Court Legalizes Same-sex Marriage,none,none,none,none,none,none,none,none
ABC062915,WorldNewsTonight,1,1,2015-06-29,Supreme Court Rulings More Big Rulings On Last Day Of Term,2014061,Decision,2014070,PostDecision,none,none,none,none
ABC090415,WorldNewsTonight,1,1,2015-09-04,Marriage Showdown Clerk Defiant As Licenses Issued,2014070,PostDecision,none,none,none,none,none,none
ABC093015,WorldNewsTonight,1,1,2015-09-30,Secret Meeting;davis Says Pope Told Her To 'Stay Strong',2014070,PostDecision,none,none,none,none,none,none
ABC010616,WorldNewsTonight,1,1,2016-01-06,Same-sex Marriage Ban;moore: Same-sex Licenses Shouldn't Be Issued,2014070,PostDecision,none,none,none,none,none,none
ABC030216,WorldNewsTonight,1,1,2016-03-02,Major Abortion Case;first In Years At Highest Court,2015048,Argument,none,none,none,none,none,none
ABC032816,WorldNewsTonight,1,1,2016-03-28,Rights Battle;governor Vetoes Controversial Bill,2014070,PostDecision,none,none,none,none,none,none
ABC062716,WorldNewsTonight,1,1,2016-06-27,Supreme Court Bombshell;at Least 25 States Could Be Impacted,2015048,Decision,none,none,none,none,none,none
ABC062716,WorldNewsTonight,1,1,2016-06-27,WORLD NEWS TONIGHT WITH DAVID MUIR,none,none,none,none,none,none,none,none
ABC020217,WorldNewsTonight,1,1,2017-02-02,"Church And State;trump: Will ""Totally Destroy"" Religious Tax Rule",2014070,PostDecision,none,none,none,none,none,none
ABC120517,WorldNewsTonight,1,1,2017-12-05,Instant Index,2017020,Argument,none,none,none,none,none,none
ABC060418,WorldNewsTonight,1,1,2018-06-04,Same-sex Verdict Bombshell;justices Rule For Baker Who Turned Away Gay Couple,2017020,Decision,none,none,none,none,none,none
ABC062618,WorldNewsTonight,1,1,2018-06-26,"Trump Travel Ban Upheld;trump: Ruling Is ""Tremendous Victory""",2017041,Decision,none,none,none,none,none,none
ABC031891,WorldNewsTonight,1,0,1991-03-18,No Headline In Original,1991110,Cert,none,none,none,none,none,none
ABC032591,WorldNewsTonight,1,0,1991-03-25,No Headline In Original,1990081,Argument,none,none,none,none,none,none
ABC052391,WorldNewsTonight,1,0,1991-05-23,No Headline In Original,1990081,Decision,none,none,none,none,none,none
ABC061091,WorldNewsTonight,1,0,1991-06-10,No Headline In Original,1991105,Cert,none,none,none,none,none,none
ABC062191,WorldNewsTonight,1,0,1991-06-21,No Headline In Original,1990117,Decision,none,none,none,none,none,none
ABC062491,WorldNewsTonight,1,0,1991-06-24,No Headline In Original,1990120,Decision,none,none,none,none,none,none
ABC121091,WorldNewsTonight,1,0,1991-12-10,No Headline In Original,1991011,Decision,none,none,none,none,none,none
ABC012192,WorldNewsTonight,1,0,1992-01-21,No Headline In Original,1991117,Cert,none,none,none,none,none,none
ABC022692,WorldNewsTonight,1,0,1992-02-26,No Headline In Original,1991035,Decision,none,none,none,none,none,none
ABC030992,WorldNewsTonight,1,0,1992-03-09,No Headline In Original,1991041,Decision,none,none,none,none,none,none
ABC040692,WorldNewsTonight,1,0,1992-04-06,No Headline In Original,1991117,PostCert,none,none,none,none,none,none
ABC042092,WorldNewsTonight,1,0,1992-04-20,No Headline In Original,1991117,PostCert,none,none,none,none,none,none
ABC042292,WorldNewsTonight,1,0,1992-04-22,No Headline In Original,1991117,Argument,none,none,none,none,none,none
ABC052692,WorldNewsTonight,1,0,1992-05-26,No Headline In Original,1991077,Decision,none,none,none,none,none,none
ABC060192,WorldNewsTonight,1,0,1992-06-01,No Headline In Original,1991078,Decision,1991079,Decision,none,none,none,none
ABC061892,WorldNewsTonight,1,0,1992-06-18,No Headline In Original,1991094,Decision,none,none,none,none,none,none
ABC061992,WorldNewsTonight,1,0,1992-06-19,No Headline In Original,1991098,Decision,none,none,none,none,none,none
ABC062292,WorldNewsTonight,1,0,1992-06-22,No Headline In Original,1991105,Decision,none,none,none,none,none,none
ABC062492,WorldNewsTonight,1,0,1992-06-24,No Headline In Original,1991110,Decision,none,none,none,none,none,none
ABC062692,WorldNewsTonight,1,0,1992-06-26,No Headline In Original,1991116,Decision,1991112,Decision,none,none,none,none
MSNBC010203,Hardball,1,1,2003-01-02,"HARDBALL For January 2, 2003",1999088,PostDecision,none,none,none,none,none,none
Fox011601,SpecialReport,1,1,2001-01-16,Political Headlines,1991117,PostDecision,none,none,none,none,none,none
Fox032201,SpecialReport,1,1,2001-03-22,Political Headlines,1999085,PostDecision,none,none,none,none,none,none
Fox041701,SpecialReport,1,1,2001-04-17,Political Headlines,1999085,PostDecision,none,none,none,none,none,none
Fox051501,SpecialReport,1,1,2001-05-15,Political Headlines,1999085,PostDecision,none,none,none,none,none,none
Fox061401,SpecialReport,1,1,2001-06-14,Political Headlines,1999085,PostDecision,none,none,none,none,none,none
Fox062201,SpecialReport,1,1,2001-06-22,Interview With Jonathan Turley,1999085,PostDecision,none,none,none,none,none,none
Fox062901,SpecialReport,1,1,2001-06-29,Political Headlines,2000071,PostDecision,2000082,PostDecision,none,none,none,none
ABC062992,WorldNewsTonight,1,0,1992-06-29,No Headline In Original,1991117,Decision,none,none,none,none,none,none
Fox070102,SpecialReport,1,1,2002-07-01,Political Headlines,2001080,PostDecision,none,none,none,none,none,none
Fox042203,SpecialReport,1,1,2003-04-22,"All-star Panel Discusses Frances Proposal To Lift Sanctions Against Iraq, Senator Santorum's Anti-gay Comments",2002083,PostArgument,none,none,none,none,none,none
Fox042303,SpecialReport,1,1,2003-04-23,Presidential Hopeful Dick Gephardt Takes On Health Care As Platform In 2004 Campaign; Senator Santorum Defends His Anti-gay Remarks,2002083,PostArgument,none,none,none,none,none,none
MSNBC031103,Hardball,1,1,2003-03-11,"HARDBALL For March 11, 2003",1999088,PostDecision,1991117,PostDecision,none,none,none,none
Fox042403,SpecialReport,1,1,2003-04-24,All-star Panel Discusses The Surrender Of Tariq Aziz And Senator Santorum's Controversial Comments,2002083,PostArgument,none,none,none,none,none,none
Fox042403,SpecialReport,1,1,2003-04-24,Political Grapevine Supreme Court Made The Same Legal Point As Senator Santorum; Member Of British Parliament On Iraqi Regime's Payroll; Britain And America Under Investigation For Human Rights Violations,none,none,none,none,none,none,none,none
Fox062303,SpecialReport,1,1,2003-06-23,Supreme Court Upholds College Admission's Racial Preferences But Not As Quota,2002076,Decision,none,none,none,none,none,none
ABC063092,WorldNewsTonight,1,0,1992-06-30,No Headline In Original,1991117,PostDecision,none,none,none,none,none,none
Fox062603,SpecialReport,1,1,2003-06-26,Political Headlines,2002083,Decision,none,none,none,none,none,none
ABC081492,WorldNewsTonight,1,0,1992-08-14,No Headline In Original,1991117,PostDecision,none,none,none,none,none,none
Fox062603,SpecialReport,1,1,2003-06-26,Interview With Edward Lazarus,none,none,none,none,none,none,none,none
ABC121492,WorldNewsTonight,1,0,1992-12-14,No Headline In Original,1992091,Cert,none,none,none,none,none,none
Fox070203,SpecialReport,1,1,2003-07-02,Special Report Roundtable,2002083,PostDecision,none,none,none,none,none,none
ABC022493,WorldNewsTonight,1,0,1993-02-24,No Headline In Original,1992098,Argument,none,none,none,none,none,none
Fox082703,SpecialReport,1,1,2003-08-27,Political Grapevine Poll Shows Presidential Candidate Howard Dean Doubles The Support of Senator Kerry; Some Religious Supporters Of President Bush Say They Feel Betrayed,2003006,PostCert,none,none,none,none,none,none
ABC032393,WorldNewsTonight,1,0,1993-03-23,No Headline In Original,1992045,Decision,none,none,none,none,none,none
ABC060493,WorldNewsTonight,1,0,1993-06-04,Issue Of Prayer At High School Graduations,1991110,PostDecision,none,none,none,none,none,none
Fox120203,SpecialReport,1,1,2003-12-02,Political Grapevine Poll Shows President Bush's Approval Ratings Up Since Baghdad Visit; Presidential Candidate Howard Dean Mistakenly Calls Russia The Soviet Union,2002083,PostDecision,2003035,Argument,none,none,none,none
ABC060793,WorldNewsTonight,1,0,1993-06-07,No Headline In Original,1992086,Decision,none,none,none,none,none,none
Fox030504,SpecialReport,1,1,2004-03-05,"Grapevine Senator Kerry's Top Campaign Donors Have Donated Much More To The Bush Campaign; The Federal Election Commission Is Considering A Ban On Large Campaign Donations, Which The Sierra Club Says It Will Ignore",2003006,PostDecision,none,none,none,none,none,none
Fox051704,SpecialReport,1,1,2004-05-17,Analysis With Jonathan Turley,2002083,PostDecision,none,none,none,none,none,none
Fox120604,SpecialReport,1,1,2004-12-06,Political Grapevine,2004045,PostCert,none,none,none,none,none,none
MSNBC042203,Hardball,1,1,2003-04-22,"HARDBALL For April 22, 2003",2002083,PostArgument,none,none,none,none,none,none
ABC061193,WorldNewsTonight,1,0,1993-06-11,No Headline In Original,1992093,Decision,1992091,Decision,none,none,none,none
Fox030205,SpecialReport,1,1,2005-03-02,The Supreme Court Hears Argument On Barring The 10 Commandments On Government Grounds,2004075,Argument,2004078,Argument,none,none,none,none
ABC062593,WorldNewsTonight,1,0,1993-06-25,No Headline In Original,1992111,Decision,none,none,none,none,none,none
ABC062893,WorldNewsTonight,1,0,1993-06-28,No Headline In Original,1992113,Decision,none,none,none,none,none,none
Fox032905,SpecialReport,1,1,2005-03-29,Political Grapevine; New Study Finds College Faculties Are Hotbed Of Liberalism; Colorado's Supreme Court Overturns Death Sentence After Finding Jurors Read Bible During Deliberations,2004079,Argument,none,none,none,none,none,none
Fox052305,SpecialReport,1,1,2005-05-23,Senate Standoff Continues; Threat Of Veto Causes Debate,2005020,Cert,none,none,none,none,none,none
Fox053105,SpecialReport,1,1,2005-05-31,Political Headlines,2004052,Decision,none,none,none,none,none,none
MSNBC050903,Hardball,1,1,2003-05-09,"HARDBALL for May 9, 2003",2002083,PostArgument,none,none,none,none,none,none
Fox062705,SpecialReport,1,1,2005-06-27,Supreme Court Decisions; Possible Court Vacancy,2004075,Decision,2004078,Decision,2004079,Decision,none,none
ABC101293,WorldNewsTonight,1,0,1993-10-12,Cops In Prison,1993004,PostCert,none,none,none,none,none,none
Fox113005,SpecialReport,1,1,2005-11-30,New Memo Exposes Alito's Anti-abortion Stance,2005020,Argument,none,none,none,none,none,none
Fox113005,SpecialReport,1,1,2005-11-30,President Bush's Iraq War Speech; Pre-war Intelligence,none,none,none,none,none,none,none,none
Fox113005,SpecialReport,1,1,2005-11-30,Supreme Court Hears New Hampshire Abortion Case,none,none,none,none,none,none,none,none
MSNBC060503,Hardball,1,1,2003-06-05,"HARDBALL For June 5, 2003",1997097,PostDecision,none,none,none,none,none,none
Fox120605,SpecialReport,1,1,2005-12-06,Political Headlines,2005039,Argument,none,none,none,none,none,none
Fox012306,SpecialReport,1,1,2006-01-23,Anti-abortion Protesters Rally During Roe V. Wade Anniversary,1991117,PostDecision,1999088,PostDecision,none,none,none,none
MSNBC061003,Hardball,1,1,2003-06-10,"HARDBALL For June 10, 2003",1996059,PostDecision,none,none,none,none,none,none
Fox012306,SpecialReport,1,1,2006-01-23,All-star Panel Discusses Nsa Wiretap Program,none,none,none,none,none,none,none,none
Fox021706,SpecialReport,1,1,2006-02-17,Political Grapevine,2005058,PostArgument,none,none,none,none,none,none
Fox022106,SpecialReport,1,1,2006-02-21,Political Headlines,2005027,Decision,2006031,Cert,2005069,Argument,1999088,PostDecision
ABC101293,WorldNewsTonight,1,0,1993-10-12,Supreme Court To Rule On Sexual Harassment,none,none,none,none,none,none,none,none
ABC110893,WorldNewsTonight,1,0,1993-11-08,NAFTA Votes Sought,1993029,PostCert,none,none,none,none,none,none
MSNBC062403,Hardball,1,1,2003-06-24,"HARDBALL for June 24, 2003",2002076,PostDecision,none,none,none,none,none,none
MSNBC062703,Hardball,1,1,2003-06-27,"HARDBALL For June 27, 2003",2002083,Decision,none,none,none,none,none,none
Fox022106,SpecialReport,1,1,2006-02-21,Fox News All-stars,none,none,none,none,none,none,none,none
MSNBC063003,Hardball,1,1,2003-06-30,"HARDBALL for June 30, 2003",2002083,PostDecision,none,none,none,none,none,none
Fox022206,SpecialReport,1,1,2006-02-22,Port Security Conflict; Question Raised About Port Security; Shiite And Sunni Mosques Destroyed In Iraq; Iran Stands By Hamas Lead Palestinian Government; Capital Punishment Unconstitutional; Serbian Officials Want Fugitive,2005033,Decision,none,none,none,none,none,none
ABC110993,WorldNewsTonight,1,0,1993-11-09,Gore and Perot Prepare to Debate NAFTA,1993004,Decision,none,none,none,none,none,none
MSNBC073003,Hardball,1,1,2003-07-30,"HARDBALL For July 30, 2003",2002083,PostDecision,none,none,none,none,none,none
Fox030606,SpecialReport,1,1,2006-03-06,Political Headlines,2005039,Decision,none,none,none,none,none,none
ABC112993,WorldNewsTonight,1,0,1993-11-29,Supreme Court To Review Separation Of Church And State,1993090,Cert,none,none,none,none,none,none
ABC120893,WorldNewsTonight,1,0,1993-12-08,Massacre On The Long Island Railroad,1993016,Argument,none,none,none,none,none,none
Fox031706,SpecialReport,1,1,2006-03-17,Interview With Brian Riedl,2002083,PostDecision,none,none,none,none,none,none
Fox061906,SpecialReport,1,1,2006-06-19,North Korean Missile Test; Supreme Court Ruling On Water Regulation,2005069,Decision,none,none,none,none,none,none
Fox062206,SpecialReport,1,1,2006-06-22,Political Headlines,2005081,PostArgument,none,none,none,none,none,none
MSNBC073103,Hardball,1,1,2003-07-31,"HARDBALL For July 31, 2003",2002083,PostDecision,none,none,none,none,none,none
MSNBC112003,Hardball,1,1,2003-11-20,"HARDBALL For November 20, 2003",2002083,PostDecision,none,none,none,none,none,none
Fox062606,SpecialReport,1,1,2006-06-26,Political Headlines,2005081,Decision,none,none,none,none,none,none
MSNBC012004,Hardball,1,1,2004-01-20,"HARDBALL For January 20, 2004",2002083,PostDecision,none,none,none,none,none,none
MSNBC022404,Hardball,1,1,2004-02-24,"HARDBALL For February 24, 2004",2002083,PostDecision,none,none,none,none,none,none
ABC012494,WorldNewsTonight,1,0,1994-01-24,Supreme Court Rules In Favor Of Abortion Rights,1993016,Decision,none,none,none,none,none,none
Fox100206,SpecialReport,1,1,2006-10-02,Political Headlines,2006031,PostCert,1999088,PostDecision,none,none,none,none
Fox102606,SpecialReport,1,1,2006-10-26,Fox News All-stars,2002083,PostDecision,none,none,none,none,none,none
ABC030794,WorldNewsTonight,1,0,1994-03-07,Clinton Answers Criticism Over Whitewater Handling,1993029,Decision,none,none,none,none,none,none
Fox110806,SpecialReport,1,1,2006-11-08,"Voters Weigh In On Ballot Initiatives, Supreme Court Weighs Partial Birth Abortion Ban",2006031,Argument,1999088,PostDecision,none,none,none,none
Fox120606,SpecialReport,1,1,2006-12-06,Incoming Democratic House Majority Leader Abolishing `Tuesday- Thursday Club'; Investigation Results On U.s. Airways Removal Of Imams; Australian Parliament Lifts Ban On Cloning Human Embryos For Stem Cell Research,2004075,PostDecision,2004078,PostDecision,none,none,none,none
ABC033094,WorldNewsTonight,1,0,1994-03-30,Supreme Court Hears Separation Of Church And State Case,1993090,Argument,none,none,none,none,none,none
MSNBC111804,Hardball,1,1,2004-11-18,"HARDBALL for November 18, 2004",1991117,PostDecision,none,none,none,none,none,none
Fox022007,SpecialReport,1,1,2007-02-20,Political Headlines,2006017,Decision,none,none,none,none,none,none
Fox031907,SpecialReport,1,1,2007-03-19,Political Headlines,2006068,Argument,none,none,none,none,none,none
Fox040207,SpecialReport,1,1,2007-04-02,Political Headlines,2006027,Decision,none,none,none,none,none,none
ABC041994,WorldNewsTonight,1,0,1994-04-19,Supreme Court Rules On Jury Gender Discrimination,1993035,Decision,none,none,none,none,none,none
Fox040207,SpecialReport,1,1,2007-04-02,Fox News All-stars,none,none,none,none,none,none,none,none
MSNBC030305,Hardball,1,1,2005-03-03,"HARDBALL For March 3, 2005",2004078,PostCert,none,none,none,none,none,none
MSNBC030405,Hardball,1,1,2005-03-04,"HARDBALL For March 4, 2005",1999063,PostDecision,none,none,none,none,none,none
Fox040307,SpecialReport,1,1,2007-04-03,Fox News All-stars,2006027,PostDecision,none,none,none,none,none,none
MSNBC042505,Hardball,1,1,2005-04-25,"HARDBALL For April 25, 2005",2002083,PostDecision,none,none,none,none,none,none
Fox040407,SpecialReport,1,1,2007-04-04,Political Headlines,2006027,PostDecision,none,none,none,none,none,none
ABC061394,WorldNewsTonight,1,0,1994-06-13,Freedom Of Speech Ruling,1993068,Decision,none,none,none,none,none,none
ABC062794,WorldNewsTonight,1,0,1994-06-27,Clinton Administration Shake Up,1993090,Decision,none,none,none,none,none,none
Fox041807,SpecialReport,1,1,2007-04-18,Supreme Court Upholds Ban On Partial Birth Abortions,2006031,Decision,none,none,none,none,none,none
Fox041907,SpecialReport,1,1,2007-04-19,Senate Majority Leader Declares Iraq War Lost,2006031,PostDecision,none,none,none,none,none,none
ABC063094,WorldNewsTonight,1,0,1994-06-30,Suppression of Evidence Sought in O.J. Simpson case,1993091,Decision,none,none,none,none,none,none
Fox042407,SpecialReport,1,1,2007-04-24,Political Headlines,2006060,Argument,none,none,none,none,none,none
MSNBC051805,Hardball,1,1,2005-05-18,"HARDBALL for May 18th, 2005",2002083,PostDecision,1999077,PostDecision,none,none,none,none
