CaseID,DateCert,DateArgument,DateDecision,TimePeriod,CaseName,CaseSummary,IssueArea
1991013,,1991-11-05,1991-12-11,1990_1999,"Union Bank V. Herbert Wolas, Chapter 7 Trustee For The Estate Of Zzzz Best Co., Inc.","A debtor's payments on long-term debt could qualify for the ordinary course of business exception, as provided in the Bankruptcy Code, to the trustee's power to avoid preferential transfers.",EconomicActivity
1991016,,1991-10-08,1991-12-15,1990_1999,Kenneth Hilton V. South Carolina Public Railways Commission,The Supreme Court reaffirmed a decision holding that the Federal Employers' Liability Act authorized suit for damages against state-owned railroads and that by entering the railroad business a state waived its Eleventh Amendment immunity.,EconomicActivity
1991023,,1991-11-04,1992-01-14,1990_1999,"Shirley M. Molzof, Personal Representative Of The Estate Of Robert E. Molzof V. United States",The Federal Tort Claims Act's prohibition against punitive damage awards did not prohibit a survivor from recovering damages for the cost of medical care that was provided free of charge at a veterans' hospital or for loss of enjoyment of life.,EconomicActivity
1991027,,1991-10-15,1992-01-15,1990_1999,"Aletha Dewsnup V. Louis L. Timm, Et Al.","A debtor's suit to ""strip down"" creditors' lien on the debtor's real property to equal the property's fair market value and declare the remainder void was dismissed because the creditors' claim had been ""allowed"" and was ""secured.""",EconomicActivity
1991033,,1991-12-09,1992-02-25,1990_1999,"United States V. Nordic Village Inc., David O. Simon, Trustee","Where there was no statutory basis to establish an unequivocal textual waiver of the government's immunity from a bankruptcy trustee's claim for monetary relief, reversal of a lower court's decision granting such recovery was warranted.",EconomicActivity
1991035,1991-06-10,1991-12-11,1992-02-26,1990_1999,Christine Franklin V. Gwinnett County Public Schools And William Prescott.,A student was entitled to a damages remedy for an action brought to enforce Title IX.,SexDiscrimination
1991037,,1991-12-11,1992-02-26,1990_1999,"Arkansas, Et Al. V. Oklahoma, Et Al.",Denial of discharge permit to Arkansas was improper because Clean Water Act preempted an action based on the law of the affected State and the only law applicable to an interstate discharge was the law of the State in which point source was located.,EconomicActivity
1991041,,1991-11-12,1992-03-09,1990_1999,David Dawson V. Delaware,"Admission into evidence of defendant's membership in the Aryan Brotherhood, a racist prison gang, at the penalty phase of murder trial was totally without relevance and was constitutional error; evidence was not tied in any way to murder victim.",FirstAmendment
1991042,,1991-12-10,1992-03-09,1990_1999,"General Motors Corporation, Et Al. V. Evert Romein Et Al.","The retroactive application of a statute requiring employers, who had impermissibly withheld workers' compensation benefits from disabled employees, to refund such payments did not violate the Contracts Clause or the Due Process Clause.",EconomicActivity
1991049,,1992-01-21,1992-03-24,1990_1999,"Nationwide Mutual Insurance Company, Et Al. V. Robert T. Darden","To determine whether an insurance agent was an employee of an insurance company for the purpose of obtaining retirement benefits under ERISA, the correct test of employee status was the master-servant relationship under the common law of agency.",EconomicActivity
1991053,,1992-01-14,1992-03-25,1990_1999,"William Barnhill V. Elliot Johnson, Trustee","Where debtor delivered check to creditor outside 90-day preference period but check was honored within preference period, bankruptcy trustee was properly permitted to avoid payment as preference as transfer took place on date check was honored.",EconomicActivity
1991055,,1991-12-02,1992-03-25,1990_1999,"F. Dale Robertson, Chief, United States Forest Service, Et. Al. V. Seattle Audubon Society Et Al.","A federal statute was improperly held unconstitutional because the statute, in replacing a legal standard for pending litigation, did not compel courts to make particular findings of fact, applications of law to fact, nor render specific results.",EconomicActivity
1991063,,1991-12-03,1992-04-21,1990_1999,"United States Department Of Energy V. Ohio, Et Al.","The Clean Water Act and the Resource Conservation and Recovery Act of 1976 unambiguously waived sovereign immunity from civil penalties against the U.S., but the waiver went no further than the coercive variety and did not extend to punitive fines.",EconomicActivity
1991064,,1992-03-02,1992-04-21,1990_1999,"Robert J. Taylor, Trustee V. Freeland & Kronz, Wendell G. Freeland And Richard F. Kronz","A bankruptcy debtor's trustee was properly barred from challenging the validity of an exemption because the trustee failed to timely object to the exemption, even though the debtor had no colorable statutory basis for claiming the exemption.",EconomicActivity
1991074,,1991-10-08,1992-05-26,1990_1999,"Charles W. Burson, Attorney General And Reporter For Tennessee V. Mary Rebecca Freeman","Following strict scrutiny, state statute imposing 100-foot boundary restriction on distribution of campaign materials on election day found constitutional; statute constituted compromise between competing fundamental rights.",FirstAmendment
1991076,,1991-12-09,1992-05-26,1990_1999,"John H. Evans, Jr. V. United States","Nothing in text or legislative history of Hobbs Act was contrary to common-law meaning of extortion, so Government needed only to show that public official obtained payment to which he was not entitled, knowing it was made in return for official act.",EconomicActivity
1991077,,1992-01-22,1992-05-26,1990_1999,"Quill Corporation V. North Dakota By And Through Its Tax Commissioner, Heidi Heitkamp","A North Dakota use tax upon an out-of-state mail order house violated the negative implication of the Commerce Clause, which prohibited state taxation on interstate commerce.",EconomicActivity
1991078,,1992-04-21,1992-06-01,1990_1999,"Chemical Waste Management, Inc. V. Guy Hunt, Governor Of Alabama Et Al.",A state statute that imposed a hazardous waste disposal fee on hazardous wastes generated outside the state and disposed of in the state violated the commerce clause because the fee did not apply to waste generated in the state.,EconomicActivity
1991079,,1992-03-30,1992-06-01,1990_1999,"Fort Gratiot Sanitary Landfill, Inc. V. Michigan Department Of Natural Resources Et Al.",A state statute that prohibited private landfill operators from accepting solid waste originating outside the county where the landfill operators were located was held to be unconstitutional as a violation of the Commerce Clause.,EconomicActivity
1991082,,1991-12-10,1992-06-08,1990_1999,"Eastman Kodak Company V. Image Technical Services, Inc., Et Al.","In an antitrust suit, the court affirmed the reversal of grant of summary judgment, finding that competition in the equipment market would necessarily prevent a film company from engaging in a tying arrangement in the service and parts markets.",EconomicActivity
1991087,,1992-01-13,1992-06-12,1990_1999,"Federal Trade Commission V. Ticor Title Insurance Company, Et Al.","As state did not actively supervise conduct, the court reversed judgment holding that respondent title insurance companies were entitled to state action immunity for FTC Act violation for horizontal price fixing by use of state rating bureaus.",EconomicActivity
1991092,,1992-04-20,1992-06-15,1990_1999,"John R. Patterson, Trustee V. Joseph B. Shumate, Jr.","ERISA-qualified plans constitute ""applicable nonbankruptcy law"" and contain enforceable restrictions on the transfer of pension interests. A debtor's interest in such a pension plan may be excluded from the property of the bankruptcy estate.",EconomicActivity
1991093,,1992-03-04,1992-06-15,1990_1999,"Allied-signal, Inc., As Successor-in-interest To The Bendix Corporation V. Director, Division Of Taxation","A corporate taxpayer earning multistate income did not have to pay an apportioned share of income tax to the state of New Jersey when it realized gain from the sale of stock in a New York company, which was not part of its unitary business.",EconomicActivity
1991094,,1992-02-25,1992-06-18,1990_1999,"Stephanie Nordlinger V. Kenneth Hahn, In His Capacity As Tax Assessor For Los Angeles County, Et Al.","A state law providing for strict limits on real property taxes and assessments rationally furthered legitimate purposes, and exemptions that resulted in unequal assessments did not violate federal constitutional law.",EconomicActivity
1991096,,1992-04-22,1992-06-18,1990_1999,"Kraft General Foods, Inc. V. Iowa Department Of Revenue And Finance","An Iowa statute taxing a corporation's foreign subsidiaries but not its domestic subsidiaries discriminated, on its face, against foreign commerce because it advocated domestic commerce over foreign commerce.",EconomicActivity
1991097,,1992-03-23,1992-06-18,1990_1999,"Mary Gade, Director, Illinois Environmental Protection Agency V. National Solid Wastes Management Association",Illinois' licensing laws regarding workers' handling of hazardous waste were preempted by the Occupational Safety and Health Act even though the state agency's environmental regulation had the dual purpose of protecting both the public and workers.,EconomicActivity
1991098,,1992-03-31,1992-06-19,1990_1999,"Forsyth County, Georgia V. The Nationalist Movement",A county ordinance was determined to be invalid because it unconstitutionally tied the amount of the fee charged for parading and assembling to the content of the speech without providing adequate procedural safeguards.,FirstAmendment
1991100,,1992-01-22,1992-06-19,1990_1999,"Wisconsin Department Of Revenue V. William Wrigley, Jr., Co.","Since the company's business activities within Wisconsin were not limited to those specified in the federal franchise tax statute, the prohibition on net-income taxation contained in the provision was inapplicable.",EconomicActivity
1991105,1991-06-10,1991-12-04,1992-06-22,1990_1999,"Rav V. City Of St. Paul, Minnesota",A local bias-motivated crime ordinance was struck down as facially unconstitutional under the First Amendment because it imposed special prohibitions on speakers expressing views on disfavored subjects.,FirstAmendment
1991107,,1992-03-25,1992-06-22,1990_1999,"Estate Of Floyd Cowart V. Nicklos Drilling Company, Et Al.","Where the injured employee, without the employer's consent, settled with a third party for an amount less than the worker was entitled to under the Longshore and Harbor Workers Compensation Act, he forfeited future benefits under the Act.",EconomicActivity
1991110,1991-03-18,1991-11-06,1992-06-24,1990_1999,"Robert E. Lee, Individually And As Principal Of Nathan Bishop Middle School, Et Al. V. Daniel Weisman Etc.",The inclusion of clerical members who offered prayers as part of official public school graduation ceremonies was inconsistent with the Establishment Clause of the First Amendment of the Constitution.,FirstAmendment
1991112,,1992-03-25,1992-06-26,1990_1999,"International Society For Krishna Consciousness, Inc., And Brian Rumbaugh V. Walter Lee",Denial of religious group's declaratory relief petition affirmed because an airport was not a traditional public forum for the free expression of ideas and a regulation limiting speech was reasonable to promote crowd control.,FirstAmendment
1991114,,1992-04-21,1992-06-26,1990_1999,"Two Pesos, Inc. V. Taco Cabana, Inc.","A judgment upholding a jury verdict for respondent restaurant in its Lanham Act suit for trade dress infringement was affirmed, as proof of secondary meaning was not required to prevail where respondent's trade dress was inherently distinctive.",EconomicActivity
1991116,,1992-03-25,1992-06-26,1990_1999,"Walter Lee, Superintendent Of Port Authority Police V. International Society For Krishna Consciousness, Inc., Et Al.",,FirstAmendment
1991117,1992-01-21,1992-04-22,1992-06-29,1990_1999,"Planned Parenthood Of Southeastern Pennsylvania, Et Al. V. Robert P. Casey, Et Al., Etc.",The Court held that the husband notification provision of the Pennsylvania Abortion Control Act placed an undue burden on a woman's right to have an abortion in a large fraction of cases and was unconstitutional.,Abortion
1992013,,1992-11-04,1993-01-12,1990_1999,"Bath Iron Works Corporation, Et Al. V. Director, Office Of Workers' Compensation Programs, Etc., Et Al.",A claimant who discovered a work related hearing loss should properly have been compensated for a scheduled injury despite the fact that he was retired.,EconomicActivity
1992022,,1992-11-10,1993-01-25,1990_1999,"Spectrum Sports, Inc., Et Al. V. Shirley Mcquillan, Et Vir, Dba Sorboturf Enterprises",An attempted monopolization judgment against a polymer corporation was reversed absent proof that the corporation intended to monopolize or that there was a dangerous probability of monopolization in a relevant market.,EconomicActivity
1992031,,1992-10-14,1993-02-23,1990_1999,"Itel Containers International Corporation V. Joe Huddleston, Commissioner Of Revenue Of Tennessee","State sales tax on leases for containers used in international shipping did not violate international conventions signed by the United States, as it taxed the transfer of title or possession and did not discriminate against imported products.",EconomicActivity
1992037,,1992-10-13,1993-03-03,1990_1999,"Bob Reves, Et Al. V. Ernst & Young",An outside accounting firm was not liable to a class of note holders for a RICO violation when there was insufficient evidence that it had participated in the operation or management of the enterprise itself.,EconomicActivity
1992038,,1992-12-07,1993-03-08,1990_1999,Sandra Jean Smith V. United States,The dismissal a widow's wrongful death complaint based exclusively on acts or omissions occurring in Antarctica was upheld since the Federal Tort Claims Act's waiver of sovereign immunity did not apply to tort claims arising in Antarctica.,EconomicActivity
1992045,,1992-11-30,1993-03-23,1990_1999,"Saudi Arabia, King Faisal Specialist Hospital And Royspec V. Scott Nelson Et Ux.",Respondent was not entitled to damages he suffered from his imprisonment in petitioner country because the commercial activities of recruiting and hiring respondent to work for petitioner hospital were not the basis of respondent's tort action.,EconomicActivity
1992046,,1992-11-30,1993-03-24,1990_1999,Pioneer Investment Services Company V. Brunswick Associates Limited Partnership Et Al.,An attorney's inadvertent failure to file a proof of claim within the deadline set by a bankruptcy court constituted excusable neglect within the meaning of a bankruptcy rule because the bankruptcy court's notification of the bar date was ambiguous.,EconomicActivity
1992047,,1992-11-09,1993-03-24,1990_1999,"City Of Cincinnati V. Discovery Network, Inc., Et Al.",A city's prohibition on the distribution of commercial handbills in newsracks on public property violated the First Amendment where a reasonable fit between the interests in safety and esthetics and the selective prohibition was not established.,FirstAmendment
1992062,,1992-12-07,1993-04-26,1990_1999,"Fred H. Edenfield, Et Al. V. Scott Fane","Judgment in favor of respondent affirmed because broad rules suppressing free expression, including legitimate commercial speech, infringe upon the free speech guarantees of the Constitution.",FirstAmendment
1992067,,1992-11-02,1993-05-03,1990_1999,"Professional Real Estate Investors, Inc., Et Al. V. Columbia Pictures Industries, Inc., Et Al.",A copyright suit was not a sham for purposes of hotel owners' antitrust counterclaim. The copyright suit did not constitute a pursuit of claims so baseless that no reasonable litigant could realistically expect to secure favorable relief.,EconomicActivity
1992079,,1993-02-22,1993-06-01,1990_1999,"William J. Mertens, Alex W. Bandrowski, James A. Clark, And Russell Franz V. Hewitt Associates","The employees' suit against a nonfiduciary who knowingly participated in a breach of fiduciary duty imposed by ERISA was properly dismissed as the section authorizing suit to obtain ""other appropriate equitable relief"" did not include money damages.",EconomicActivity
1992081,,1993-03-01,1993-06-01,1990_1999,"Musick, Peeler & Garrett, Et Al. V. Employers Insurance Of Wausau Et Al.",An insurer was entitled to seek contribution from attorneys and accountants involved in misleading public offering in 10b-5 action because to allow right of contribution was consistent with Securities Exchange Act of 1934.,EconomicActivity
1992082,,1993-03-29,1993-06-01,1990_1999,"Federal Communications Commission And United States V. Beach Communications, Inc., Et Al.",A communications regulatory statute did not violate the equal protection guarantee of the Due Process Clause because the statutory classification neither proceeded along suspect lines nor infringed fundamental constitutional rights.,EconomicActivity
1992083,,1993-04-19,1993-06-01,1990_1999,"Leonard Nobelman, Et Ux. V. American Savings Bank Et Al.",Rejection of a confirmation of debtors' Chapter 13 plan that reduced an undersecured homestead mortgage to the fair market value of the property was proper because the bank's rights under the mortgage could not be modified.,EconomicActivity
1992086,,1993-02-24,1993-06-07,1990_1999,Lamb's Chapel And John Steigerwald V. Center Moriches Union Free School District Et Al.,Summary judgment denying petitioners access to respondent's school property for public use was reversed because it was discrimination on the basis of viewpoint and nothing in the record supported the court's judgment.,FirstAmendment
1992088,,1993-03-30,1993-06-07,1990_1999,"Jeffery Antoine V. Byers & Anderson, Inc., Et Al.","Duties of court reporter were not functionally equivalent to those of judges, because they did not require the same kind of discretionary judgment, and court reporter was not, therefore, protected by judicial immunity.",EconomicActivity
1992090,,1993-03-22,1993-06-07,1990_1999,"Donald Neal Rake, Et Al. V. William J. Wade, Trustee","Although debtors' promissory notes did not allow interest on arrearages on their home mortgages, the Bankruptcy Code provided that an over-secured creditor was entitled to interest on the arrearages that debtors agreed to cure under their plans.",EconomicActivity
1992091,1992-12-14,1993-04-21,1993-06-11,1990_1999,Wisconsin V. Todd Mitchell,Defendant's First Amendment freedom of speech and association rights were not violated by application of state penalty-enhancement provision in sentencing for racially-motivated aggravated assault; statute was not overbroad.,FirstAmendment
1992093,,1992-11-04,1993-06-11,1990_1999,"Church Of The Lukumi Babalu Aye, Inc. And Ernesto Pichardo V. City Of Hialeah",Ordinances passed by respondent city prohibiting animal sacrifice were found unconstitutional under the Free Exercise Clause because they were not neutral nor of general application and could not survive strict scrutiny.,FirstAmendment
1992095,,1992-12-01,1993-06-14,1990_1999,"Concrete Pipe And Products Of California, Inc. V. Construction Laborers Pension Trust For Southern California",,EconomicActivity
1992098,,1993-02-24,1993-06-18,1990_1999,"Larry Zobrest, Et Ux., Et Al. V. Catalina Foothills School District",The Court held that the Establishment Clause did not prevent a school district from furnishing a deaf child with a sign language interpreter to facilitate his education at a sectarian school.,FirstAmendment
1992104,,1993-03-29,1993-06-21,1990_1999,Brooke Group Ltd. V. Brown & Williamson Tobacco Corporation,"The Supreme Court held that petitioner had failed to prove that oligopolistic price coordination could cause primary-line competitive injury to the generic cigarette market; it did, however, refuse to create a per se rule of nonliability.",EconomicActivity
1992110,,1993-04-21,1993-06-25,1990_1999,United States And Federal Communications Commission V. Edge Broadcasting Company T/a Power 94,A regulation banning advertisement of a lottery by a broadcaster licensed in a state that had banned gambling was constitutional where it was narrowly tailored to serve the governmental interest of respecting differing laws from neighboring states.,FirstAmendment
1992111,,1993-03-31,1993-06-25,1990_1999,"Txo Production Corp. V. Alliance Resources Corp., Et Al.","In respondents' slander of title suit involving an interest in oil and gas development rights, large punitive damage award against petitioner was affirmed, as award was not so grossly excessive as to violate petitioner's due process rights.",EconomicActivity
1992113,,1993-01-12,1993-06-28,1990_1999,"Ferris J. Alexander, Sr. V. United States",Forfeiture of a criminal's adult entertainment business as a penalty for violating the Racketeer Influenced and Corrupt Organizations Act did not violate U.S. Const. amend. I as a prior restraint on the criminal's right to free speech.,FirstAmendment
1992119,,1993-02-23,1993-06-28,1990_1999,"Hartford Fire Insurance Co., Et Al. V. California Et Al.",A request by domestic and foreign insurers to dismiss a complaint for violations of antitrust laws was properly denied because the boycott exception of antitrust immunity under the McCarran-Ferguson Act was applicable.,EconomicActivity
1993004,,1993-10-13,1993-11-09,1990_1999,"Teresa Harris V. Forklift Systems, Inc.","Conduct barred by Title VII was not limited to conduct that would seriously affect a reasonable person's psychological well being. As long as the environment was reasonably perceived as hostile or abusive, was not required to be injurious to psyche.",SexDiscrimination
1993008,,1993-10-12,1993-12-13,1990_1999,"John Hancock Mutual Life Insurance Company V. Harris Trust And Savings Bank, As Trustee Of The Sperry Master Retirement Trust No. 2","A guaranteed policy exclusion did not cover ""free funds"" administered by an insurer, because such funds were plan assets, and the insurer's actions in regard to their management were to be judged against ERISA's fiduciary standards.",EconomicActivity
1993016,1993-06-19,1993-12-08,1994-01-24,1990_1999,"National Organization For Women, Inc., Etc., Et Al. V. Joseph Scheidler Et Al.",A civil action under the Racketeer Influenced and Corrupt Organizations Act did not require proof that either the racketeering enterprise or the predicate acts alleged were motivated by an economic purpose.,Abortion
1993019,,1993-11-08,1994-01-24,1990_1999,"Department Of Revenue Of Oregon V. Acf Industries, Inc., Et Al.",A state may grant exemptions from a generally applicable ad valorem property tax without subjecting the taxation of railroad property to challenge under the Railroad Revitalization and Regulatory Reform Act of 1976.,EconomicActivity
1993024,,1993-10-04,1994-02-23,1990_1999,Federal Deposit Insurance Corporation V. John H. Meyer,"A former employee did not have a Bivens cause of action against the Federal Deposit Insurance Corporation, as it only applied to individuals not federal agencies.",EconomicActivity
1993029,,1993-11-09,1994-03-07,1990_1999,"Luther R. Campbell Aka Luke Skyywalker, Et Al. V. Acuff-rose Music, Inc.","In a copyright infringement action, a musical parody's commercial character was held to be only one element to be weighed in a fair use defense inquiry; such commercial character did not, in and of itself, prevent the parody from being a fair use.",EconomicActivity
1993033,,1994-01-18,1994-04-04,1990_1999,"Oregon Waste Systems, Inc., Et Al. V. Department Of Environmental Quality Of The State Of Oregon Et Al.",The United States Supreme Court invalidated out-of-state surcharges on solid waste disposal because State failed to demonstrate under Commerce Clause legitimate reason for imposing a surcharge on waste solely because it was generated in other states.,EconomicActivity
1993035,,1993-11-02,1994-04-19,1990_1999,J. E. B. V. Alabama Ex Rel. T. B.,A State could not use its peremptory challenges in a paternity suit to exclude jurors solely on the basis of their gender because the exclusion was a violation the Equal Protection Clause of the Fourteenth Amendment.,SexDiscrimination
1993036,,1993-11-30,1994-04-19,1990_1999,"Central Bank Of Denver, N. A. V. First Interstate Bank Of Denver, N. A. And Jack K. Naber",Liability for aiding and abetting another's fraud was not imposed where an indenture trustee for bonds issued by a public housing authority was not a primary violator of the Securities Exchange Act of 1934 and had committed no deceptive acts.,EconomicActivity
1993037,,1994-01-11,1994-04-20,1990_1999,"Mcdermott, Inc. V. Amclyde And River Don Castings Ltd.",Respondents were entitled to have their damages allocation revised where the court found that a proportionate allocation among respondents was the correct approach.,EconomicActivity
1993038,,1994-01-11,1994-04-20,1990_1999,"Boca Grande Club, Inc. V. Florida Power & Light Company, Inc.",,EconomicActivity
1993043,,1994-01-19,1994-05-02,1990_1999,"City Of Chicago, Et Al. V. Environmental Defense Fund Et Al.","The Resource Conservation and Recovery Act did not exclude municipal waste combustion ash from the hazardous waste requirements of Subtitle C, such that the city's disposal of such ash at non-hazardous waste sites violated the Act.",EconomicActivity
1993048,,1993-12-07,1994-05-16,1990_1999,"C & A Carbone, Inc., Et Al. V. Town Of Clarkstown, New York",A local ordinance requiring all solid waste generated within a town to go to the town's recycling center actually impacted interstate commerce and violated the United States Constitution's Commerce Clause.,EconomicActivity
1993049,,1994-02-28,1994-05-16,1990_1999,"Security Services, Inc. V. Kmart Corporation","The court affirmed a judgment for respondent in petitioner debtor in possession's suit to collect undercharges pursuant to the filed rate doctrine since petitioner could not collect for undercharges based on filed, but void, rates.",EconomicActivity
1993053,,1993-12-07,1994-05-23,1990_1999,"Bfp V. Resolution Trust Corporation, As Receiver Of Imperial Federal Savings Association, Et Al.",A non-collusive and regularly conducted nonjudicial foreclosure sale could not be challenged as a fraudulent conveyance because the consideration received in such a sale established reasonably equivalent value as a matter of law.,EconomicActivity
1993056,,1994-03-28,1994-05-23,1990_1999,"Associated Industries Of Missouri, Et Al. V. Janette M. Lohman, Director Of Revenue Of Missouri, Et Al.",A statewide use tax was not a valid compensatory tax because local sales taxes did not precisely counterbalance the differential burdens placed by the tax on interstate and intrastate commerce as required by the Commerce Clause.,EconomicActivity
1993059,,1993-12-01,1994-05-31,1990_1999,"Cynthia Waters, Et Al. V. Cheryl R. Churchill, Et Al.",Employer and supervisor were not entitled to summary judgment in wrongful termination action. Employee produced enough evidence to create a material issue of disputed fact about employer's actual motivation for the employee's job termination.,FirstAmendment
1993060,,1994-02-23,1994-05-31,1990_1999,"Pud No. 1 Of Jefferson County And City Of Tacoma V. Washington Department Of Ecology, Et Al.",A state could include minimum stream flow requirements in a certification for a hydroelectric project issued pursuant to the Clean Water Act insofar as necessary to enforce a designated use contained in a state water quality standard.,EconomicActivity
1993063,,1994-03-29,1994-06-06,1990_1999,Key Tronic Corporation V. United States Et Al.,"Polluter was not entitled to attorney's fees from other responsible party because CERCLA's contribution remedies did not expressly mention recovery of attorney's fees, yet some work done by attorneys was recoverable as a response cost.",EconomicActivity
1993068,,1994-02-23,1994-06-13,1990_1999,"City Of Ladue, Et Al. V. Margaret P. Gilleo",A city ordinance that prohibited homeowners from displaying signs was unconstitutional because it violated the First Amendment; there was no proof that adequate substitutes existed for the important medium of speech that the ordinance closed off.,FirstAmendment
1993071,,1994-04-20,1994-06-13,1990_1999,"Albert Howlett V. Birkdale Shipping Co., S. A.",Grant of summary judgment for shipowner was vacated because appellate court did not issue opinion and district court's opinion did not explore issues relevant to the shipowner's duty to warn a longshoreman of latent defects in a vessel.,EconomicActivity
1993075,,1994-03-02,1994-06-17,1990_1999,"West Lynn Creamery, Inc., Et Al. V. Jonathan Healy, Commissioner Of Massachusetts Department Of Food And Agriculture","Although tax imposed on all milk sold by dealers to state retailers was valid and a subsidy paid to state dairy farmers was also legitimate, use of tax collected from out-of-state dealers to subsidize in-state farmers violated the Commerce Clause.",EconomicActivity
1993076,,1994-03-21,1994-06-17,1990_1999,Mci Telecommunications Corporation V. American Telephone And Telegraph Company,Ruling that the FCC's authorization of permissive detariffing violated the Communications Act was affirmed on review because the FCC exceeded the scope of its authority under the statute.,EconomicActivity
1993078,,1994-04-25,1994-06-20,1990_1999,"Director, Office Of Workers' Compensation Programs, Department Of Labor V. Greenwich Collieries","The Department of Labor's application of the ""true doubt"" rule, in adjudicating claims for black lung and workers' compensation benefits, improperly placed the burden of proof on the party opposing the benefit award.",EconomicActivity
1993079,,1994-03-28,1994-06-20,1990_1999,Barclays Bank Plc V. Franchise Tax Board Of California,California Franchise Tax Board's imposition of corporate franchise tax on bank and company neither burdened foreign-based multinational entities nor was double international taxation contrary to Commerce and Due Process Clauses of U.S. Constitution.,EconomicActivity
1993082,,1994-04-20,1994-06-24,1990_1999,"Honda Motor Co., Ltd., Et Al. V. Karl L. Oberg",Oregon's denial of judicial review of the size of punitive damage awards violated the Due Process Clause because Oregon removed the safeguard without providing any substitute procedure.,EconomicActivity
1993086,,1994-02-28,1994-06-24,1990_1999,Consolidated Rail Corporation V. James E. Gottshall,"Witness's action for negligent infliction of emotional distress against railroad was remanded under the common-law zone-of-danger test, which was consistent with the remedial goals and focus on physical perils under Federal Employers' Liability Act.",EconomicActivity
1993089,,1994-01-12,1994-06-27,1990_1999,"Turner Broadcasting System, Inc., Et Al. V. Federal Communications Commission Et Al.","Although must-carry provision of Cable Television Consumer Protection and Competition Act was content-neutral and thus not subject to heightened scrutiny, law was invalid without proof of economic need for restrictions on constitutional rights.",FirstAmendment
1993090,1993-11-29,1994-03-30,1994-06-27,1990_1999,Board Of Education Of Kiryas Joel Village School District V. Louis Grumet Et Al.,A state statute departed from a course of neutrality toward religion by delegating the state's discretionary authority over public schools to a group defined by its character as a religious community.,FirstAmendment
1993091,,1994-04-28,1994-06-30,1990_1999,"Judy Madsen, Et Al. V. Women's Health Center, Inc., Et Al.",The court upheld the noise restrictions and the buffer zone around the clinic entrances and driveway as they burdened no more speech than necessary to eliminate the unlawful conduct targeted by the state court's injunction.,Abortion
